年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類,永續報告書有無,是否有報告,報告書收錄連結,報告書／資訊狀態,所屬集團,資訊來源,統編_trim,收錄 ETF
112,S2300429,國喬石油化學股份有限公司高雄廠,國喬石油化學股份有限公司,	04212250,"416,998.26","20,354.38","437,352.64",100.00%,"437,352.64","437,352.64",100.00%,高雄市,"437,352.64",100.00%,石油及煤製品製造業,石化業,塑膠工業,是,https://drive.google.com/file/d/1t_zklxSq5zdKHb6OhjIfhfbPwifTb7XG/view,,,,04212250
112,F1606662,南亞科技股份有限公司三廠,南亞科技股份有限公司,89390656,"56,653.82","373,670.30","430,324.12",100.00%,"430,324.12","430,324.12",100.00%,新北市,"430,324.12",100.00%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1UGBwZ-DZUA61HNNCgWzbxe2gSsXCG6dv/view,,,,89390656,"0051, 0052, 0053, 006204, 00904, 00918, 00947"
112,B2311535,台灣康寧顯示玻璃股份有限公司,台灣康寧顯示玻璃股份有限公司,	04388145,"37,778.34","309,048.54","346,826.89",82.92%,"418,258.35","418,258.35",100.00%,台中市,"346,826.89",82.92%,其他非金屬礦物製品製造業,非金屬製品加工業,非屬公開發行,是,,英文報告,,https://www.corning.com/worldwide/en/corning-reports/2024-global-impact-report,04388145
112,L91A3247,台灣肥料股份有限公司台中廠,台灣肥料股份有限公司,	03795101,"372,488.83","41,432.07","413,920.90",100.00%,"413,920.90","413,920.90",100.00%,台中市,"413,920.90",100.00%,肥料及氮化合物製造業,石化業,化學工業,是,https://drive.google.com/file/d/16Zy59Qp__AZN673sDMILPWB8ftKogqyg/view,,,,03795101
112,S2300401,中國人造纖維股份有限公司高雄總廠,中國人造纖維股份有限公司,	07066907,"395,245.41","15,411.77","410,657.17",100.00%,"410,657.17","410,657.17",100.00%,高雄市,"410,657.17",100.00%,化學原材料製造業,石化業,化學工業,是,https://drive.google.com/file/d/1xF5GVbgF3aYCy-fk5pTeG2YxsHdq0Zv-/view,,,,07066907
112,H4601227,義芳化學工業股份有限公司桃園廠,義芳化學工業股份有限公司,15395706,"361,544.78","43,349.56","404,894.34",100.00%,"404,894.34","404,894.34",100.00%,桃園市,"404,894.34",100.00%,化學原材料製造業,石化業,非屬公開發行,否,,無發行資訊,義芳,http://www.yeefong.com.tw/about_use.php,15395706
112,L9506056,華邦電子股份有限公司中科廠,華邦電子股份有限公司,22099218,"32,108.58","251,278.93","283,387.51",71.38%,"397,006.76","397,006.76",100.00%,台中市,"283,387.51",71.38%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1sW1fwyOGtVRKCQByyGcdIBuoRL7Nm7ch/view,,,,22099218,"0051, 0052, 0053, 006204, 00904, 00918, 00935, 00947"
112,P46A0693,艾杰旭顯示玻璃股份有限公司斗六二廠,艾杰旭顯示玻璃股份有限公司,70584724,"84,684.92","161,486.62","246,171.54",63.28%,"389,005.92","389,005.92",100.00%,雲林縣,"360,796.92",92.75%,玻璃及其製品製造業,非金屬製品加工業,非屬公開發行,否,,無發行資訊,,https://www.agct.com.tw/zh-tw/responsibility/,70584724
112,L91A1845,亞東工業氣體股份有限公司台中分公司,亞東工業氣體股份有限公司,22522453,"6,517.16","70,736.79","77,253.95",21.66%,"356,607.21","356,607.21",100.00%,台中市,"209,758.83",58.82%,化學原材料製造業,石化業,非屬公開發行,是,,外商-待找,,https://tw.airliquide.com/zh,22522453
112,O17A6887,旺宏電子股份有限公司晶圓五廠,旺宏電子股份有限公司,22099548,"55,996.40","151,115.22","207,111.61",58.29%,"355,303.42","355,303.42",100.00%,新竹市,"355,303.42",100.00%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/1Rt0jkwqWBWNgqQvsFUv0jfFP4OShzh3M/view,,,,22099548,"0053, 006204, 00918, 00935, 00947"
112,N1601229,慶欣欣鋼鐵股份有限公司,慶欣欣鋼鐵股份有限公司,80354671,"136,601.74","215,342.11","351,943.85",100.00%,"351,943.85","351,943.85",100.00%,彰化縣,"351,943.85",100.00%,其他金屬製品製造業,鋼鐵業,非屬公開發行,否,,無發行資訊,台鋼,https://www.tsg-etop.com.tw/about-etop/,80354671
112,S1900578,東聯化學股份有限公司高雄林園廠,東聯化學股份有限公司,14057995,"26,542.06","317,216.83","343,758.89",100.00%,"343,758.89","343,758.89",100.00%,高雄市,"343,758.89",100.00%,化學原材料製造業,石化業,化學工業,是,https://drive.google.com/file/d/1-C2aIecQvoTqs8B6SZLeYnrpAMwh9fS5/view,,,,14057995
112,H53A3580,亞東石化股份有限公司觀音二廠,亞東石化股份有限公司,22318678,"222,833.30","73,229.90","296,063.21",87.50%,"338,342.85","338,342.85",100.00%,桃園市,"338,342.85",100.00%,化學原材料製造業,石化業,非屬公開發行,是,https://drive.google.com/file/d/15373R7xPnbyFDB3dT6zLcQpC-fuKwTVp/view,永續報告書,遠東新,,22318678
